Date,Open,High,Low,Close,Adj Close,Volume
2007-08-14,119.360001,119.370003,117.800003,117.989998,83.234428,396000
2007-08-15,117.000000,117.489998,115.110001,115.260002,81.308578,520800
2007-08-16,114.209999,115.529999,110.000000,113.910004,80.356224,1393700
2007-08-17,113.580002,114.989998,111.910004,114.510002,80.779495,1024100
2007-08-20,114.519997,114.519997,112.610001,113.650002,80.172829,823000
2007-08-21,113.650002,114.980003,113.650002,114.489998,80.765396,563700
2007-08-22,114.510002,115.639999,114.500000,115.309998,81.343842,442500
2007-08-23,115.099998,115.650002,114.879997,115.309998,81.343842,403900
2007-08-24,114.959999,116.750000,114.720001,116.589996,82.246826,231200
2007-08-27,115.459999,116.000000,115.110001,115.190002,81.259193,230500
2007-08-28,115.000000,115.169998,112.940002,113.010002,79.721344,274700
2007-08-29,113.019997,114.980003,112.660004,114.809998,80.991127,445800
2007-08-30,112.699997,114.230003,112.370003,113.290001,79.918884,322000
2007-08-31,115.849998,116.400002,115.050003,115.680000,81.604866,392100
2007-09-04,116.550003,117.169998,116.089996,116.949997,82.500755,381900
2007-09-05,115.489998,115.589996,114.500000,115.269997,81.315643,290500
2007-09-06,114.750000,116.089996,114.379997,115.480003,81.463776,438400
2007-09-07,114.000000,114.000000,112.629997,113.300003,79.925919,352800
2007-09-10,115.010002,115.010002,111.930000,112.470001,79.340416,409100
2007-09-11,113.059998,113.680000,112.930000,113.250000,79.890648,253300
2007-09-12,113.250000,113.650002,112.599998,113.139999,79.813057,370200
2007-09-13,112.750000,113.089996,112.269997,112.379997,79.276917,547200
2007-09-14,112.639999,113.500000,112.260002,113.180000,79.841278,211000
2007-09-17,112.500000,113.019997,112.199997,112.669998,79.481491,253500
2007-09-18,111.660004,113.779999,111.470001,113.730003,80.229271,440800
2007-09-19,115.400002,116.330002,115.129997,115.459999,81.449661,409100
2007-09-20,115.459999,115.870003,114.599998,115.300003,81.336792,609600
2007-09-21,114.599998,115.330002,114.589996,115.059998,81.167488,443100
2007-09-24,115.000000,116.500000,114.150002,114.650002,80.878258,431400
2007-09-25,115.000000,115.930000,114.839996,115.300003,81.336792,291300
2007-09-26,115.300003,115.300003,113.500000,114.889999,81.897423,364100
2007-09-27,115.000000,116.070000,115.000000,115.879997,82.603134,281700
2007-09-28,117.599998,117.989998,116.800003,116.860001,83.301720,290000
2007-10-01,117.720001,118.870003,117.510002,118.750000,84.648956,478300
2007-10-02,118.559998,119.000000,117.510002,118.230003,84.278305,398300
2007-10-03,117.980003,117.980003,115.379997,116.129997,82.781349,663300
2007-10-04,116.750000,116.989998,115.940002,116.290001,82.895409,490800
2007-10-05,117.489998,118.540001,117.250000,117.669998,83.879112,285800
2007-10-08,116.949997,117.360001,116.709999,117.360001,83.658134,146400
2007-10-09,115.500000,115.940002,115.000000,115.800003,82.546097,427900
2007-10-10,114.029999,114.589996,113.849998,114.120003,81.348557,552700
2007-10-11,114.500000,115.070000,113.150002,113.680000,81.034920,555200
2007-10-12,112.089996,112.750000,112.010002,112.629997,80.286430,428400
2007-10-15,110.050003,110.050003,107.680000,108.110001,77.064415,1417900
2007-10-16,109.000000,109.250000,107.410004,108.900002,77.627586,734200
2007-10-17,107.709999,108.000000,106.320000,107.029999,76.294548,724500
2007-10-18,108.760002,109.099998,108.129997,108.980003,77.684601,487400
2007-10-19,107.500000,108.040001,106.250000,106.400002,75.845467,649100
2007-10-22,106.510002,107.000000,105.410004,106.860001,76.173386,775100
2007-10-23,107.980003,108.980003,107.540001,108.339996,77.228348,375800
2007-10-24,106.900002,106.940002,104.500000,106.070000,75.610245,882000
2007-10-25,105.500000,105.830002,104.769997,105.750000,75.382133,420200
2007-10-26,108.650002,109.940002,107.820000,109.730003,78.219215,678600
2007-10-29,112.110001,112.320000,110.900002,111.989998,79.830208,596800
2007-10-30,111.800003,112.089996,111.199997,111.300003,79.338348,298800
2007-10-31,114.070000,114.650002,112.000000,114.440002,81.576668,701100
